OrgID,Alternative,Brand,Choice,Affordable,Ease,Power,Learning,Supplements,Support,Needs,IT,Matlab,R,SAS,SPSS,Stata,Chosen,Status
1,1,Matlab,0,7,7,2,7,7,7,1,7,1,0,0,0,0,2,2
1,2,R,0,4,1,5,2,2,1,4,1,0,1,0,0,0,2,2
1,3,SAS,0,6,4,2,7,1,7,6,6,0,0,1,0,0,2,2
1,4,SPSS,1,7,7,3,7,6,6,6,2,0,0,0,1,0,1,1
1,5,Stata,0,4,3,1,5,3,2,2,1,0,0,0,0,1,2,2
2,1,Matlab,0,2,1,7,2,5,7,1,6,1,0,0,0,0,2,2
2,2,R,0,1,6,2,7,6,2,6,5,0,1,0,0,0,2,2
2,3,SAS,0,4,1,6,3,2,5,5,2,0,0,1,0,0,2,2
2,4,SPSS,1,2,7,6,7,7,5,7,7,0,0,0,1,0,1,1
2,5,Stata,0,7,7,1,4,7,7,1,7,0,0,0,0,1,2,2
3,1,Matlab,0,4,5,7,5,3,5,6,7,1,0,0,0,0,2,2
3,2,R,0,7,7,1,6,6,3,1,7,0,1,0,0,0,2,2
3,3,SAS,0,1,1,2,1,6,2,1,4,0,0,1,0,0,2,2
3,4,SPSS,0,5,3,7,6,4,4,7,3,0,0,0,1,0,2,2
3,5,Stata,1,6,7,1,7,6,4,5,6,0,0,0,0,1,1,1
4,1,Matlab,0,4,6,7,3,5,7,5,4,1,0,0,0,0,2,2
4,2,R,1,7,2,7,6,4,7,3,1,0,1,0,0,0,1,1
4,3,SAS,0,6,2,7,5,6,2,3,2,0,0,1,0,0,2,2
4,4,SPSS,0,3,7,3,7,5,3,7,5,0,0,0,1,0,2,2
4,5,Stata,0,4,7,1,6,6,5,3,6,0,0,0,0,1,2,2
5,1,Matlab,0,2,1,3,2,6,7,2,7,1,0,0,0,0,2,2
5,2,R,0,2,1,2,1,2,1,1,3,0,1,0,0,0,2,2
5,3,SAS,0,1,6,1,2,2,3,3,4,0,0,1,0,0,2,2
5,4,SPSS,1,1,6,1,7,2,4,6,6,0,0,0,1,0,1,1
5,5,Stata,0,2,4,1,4,7,6,1,7,0,0,0,0,1,2,2
6,1,Matlab,1,4,7,7,6,7,7,2,7,1,0,0,0,0,1,1
6,2,R,0,7,2,1,4,6,2,1,3,0,1,0,0,0,2,2
6,3,SAS,0,1,2,7,5,7,6,6,7,0,0,1,0,0,2,2
6,4,SPSS,0,2,1,6,1,6,2,1,6,0,0,0,1,0,2,2
6,5,Stata,0,4,7,1,3,1,1,2,3,0,0,0,0,1,2,2
7,1,Matlab,1,7,6,7,4,7,7,6,7,1,0,0,0,0,1,1
7,2,R,0,7,1,4,2,2,2,4,2,0,1,0,0,0,2,2
