,OrgID,Alternative,Brand,Choice,Affordable,Ease,Power,Learning,Supplements,Support,Needs,IT,Matlab,R,SAS,SPSS,Stata,Chosen,Status,intercept,Utility,U_max,U_max_e,P,AffordableXP,EaseXP,PowerXP,LearningXP,SupplementsXP,SupportXP,NeedsXP,ITXP,AffordableXPQ.Matlab,AffordableXPQ.R,AffordableXPQ.SAS,AffordableXPQ.SPSS,AffordableXPQ.Stata,EaseXPQ.Matlab,EaseXPQ.R,EaseXPQ.SAS,EaseXPQ.SPSS,EaseXPQ.Stata,PowerXPQ.Matlab,PowerXPQ.R,PowerXPQ.SAS,PowerXPQ.SPSS,PowerXPQ.Stata,LearningXPQ.Matlab,LearningXPQ.R,LearningXPQ.SAS,LearningXPQ.SPSS,LearningXPQ.Stata,SupplementsXPQ.Matlab,SupplementsXPQ.R,SupplementsXPQ.SAS,SupplementsXPQ.SPSS,SupplementsXPQ.Stata,SupportXPQ.Matlab,SupportXPQ.R,SupportXPQ.SAS,SupportXPQ.SPSS,SupportXPQ.Stata,NeedsXPQ.Matlab,NeedsXPQ.R,NeedsXPQ.SAS,NeedsXPQ.SPSS,NeedsXPQ.Stata,ITXPQ.Matlab,ITXPQ.R,ITXPQ.SAS,ITXPQ.SPSS,ITXPQ.Stata
0,1,1,Matlab,0,7,7,2,7,7,7,1,7,1,0,0,0,0,2,2,1.0,23.26330399550595,-1.325369879258325,0.26570466226765654,0.18544301794208462,1.2981011255945925,1.2981011255945925,0.37088603588416924,1.2981011255945925,1.2981011255945925,1.2981011255945925,0.18544301794208462,1.2981011255945925,,4.4901105374524344e-07,0.1297610619456097,0.2588521602140844,5.322629187197336e-07,,4.4901105374524344e-07,0.1297610619456097,0.2588521602140844,5.322629187197336e-07,,4.4901105374524344e-07,0.1297610619456097,0.2588521602140844,5.322629187197336e-07,,4.4901105374524344e-07,0.1297610619456097,0.2588521602140844,5.322629187197336e-07,,4.4901105374524344e-07,0.1297610619456097,0.2588521602140844,5.322629187197336e-07,,4.4901105374524344e-07,0.1297610619456097,0.2588521602140844,5.322629187197336e-07,,4.4901105374524344e-07,0.1297610619456097,0.2588521602140844,5.322629187197336e-07,,4.4901105374524344e-07,0.1297610619456097,0.2588521602140844,5.322629187197336e-07
1,1,2,R,0,4,1,5,2,2,1,4,1,0,1,0,0,0,2,2,1.0,12.017100914644189,-12.571572960120086,3.4692471051729877e-06,2.421288537730082e-06,9.685154150920328e-06,2.421288537730082e-06,1.210644268865041e-05,4.842577075460164e-06,4.842577075460164e-06,2.421288537730082e-06,9.685154150920328e-06,2.421288537730082e-06,3.1430773762167046e-06,,1.694261533376855e-06,3.3797754989555574e-06,6.949639401130433e-12,3.1430773762167046e-06,,1.694261533376855e-06,3.3797754989555574e-06,6.949639401130433e-12,3.1430773762167046e-06,,1.694261533376855e-06,3.3797754989555574e-06,6.949639401130433e-12,3.1430773762167046e-06,,1.694261533376855e-06,3.3797754989555574e-06,6.949639401130433e-12,3.1430773762167046e-06,,1.694261533376855e-06,3.3797754989555574e-06,6.949639401130433e-12,3.1430773762167046e-06,,1.694261533376855e-06,3.3797754989555574e-06,6.949639401130433e-12,3.1430773762167046e-06,,1.694261533376855e-06,3.3797754989555574e-06,6.949639401130433e-12,3.1430773762167046e-06,,1.694261533376855e-06,3.3797754989555574e-06,6.949639401130433e-12
2,1,3,SAS,0,6,4,2,7,1,7,6,6,0,0,1,0,0,2,2,1.0,22.799499271609672,-1.7891746031546027,0.16709803495335,0.11662258249246062,0.6997354949547637,0.46649032996984247,0.23324516498492123,0.8163580774472243,0.11662258249246062,0.8163580774472243,0.6997354949547637,0.6997354949547637,0.15138790560321133,2.8237692222947586e-07,,0.1627885899556847,3.347328836368278e-07,0.15138790560321133,2.8237692222947586e-07,,0.1627885899556847,3.347328836368278e-07,0.15138790560321133,2.8237692222947586e-07,,0.1627885899556847,3.347328836368278e-07,0.15138790560321133,2.8237692222947586e-07,,0.1627885899556847,3.347328836368278e-07,0.15138790560321133,2.8237692222947586e-07,,0.1627885899556847,3.347328836368278e-07,0.15138790560321133,2.8237692222947586e-07,,0.1627885899556847,3.347328836368278e-07,0.15138790560321133,2.8237692222947586e-07,,0.1627885899556847,3.347328836368278e-07,0.15138790560321133,2.8237692222947586e-07,,0.1627885899556847,3.347328836368278e-07
3,1,4,SPSS,1,7,7,3,7,6,6,6,2,0,0,0,1,0,1,1,1.0,24.588673874764275,0.0,1.0,0.6979291080533593,4.885503756373515,4.885503756373515,2.0937873241600777,4.885503756373515,4.1875746483201555,4.1875746483201555,4.1875746483201555,1.3958582161067186,0.9059825607492956,1.6898877494777787e-06,0.48836576986705416,,2.0032125675821243e-06,0.9059825607492956,1.6898877494777787e-06,0.48836576986705416,,2.0032125675821243e-06,0.9059825607492956,1.6898877494777787e-06,0.48836576986705416,,2.0032125675821243e-06,0.9059825607492956,1.6898877494777787e-06,0.48836576986705416,,2.0032125675821243e-06,0.9059825607492956,1.6898877494777787e-06,0.48836576986705416,,2.0032125675821243e-06,0.9059825607492956,1.6898877494777787e-06,0.48836576986705416,,2.0032125675821243e-06,0.9059825607492956,1.6898877494777787e-06,0.48836576986705416,,2.0032125675821243e-06,0.9059825607492956,1.6898877494777787e-06,0.48836576986705416,,2.0032125675821243e-06
4,1,5,Stata,0,4,3,1,5,3,2,2,1,0,0,0,0,1,2,2,1.0,12.18719098399951,-12.401482890764765,4.112485816456188e-06,2.8702235577613584e-06,1.1480894231045434e-05,8.610670673284076e-06,2.8702235577613584e-06,1.4351117788806792e-05,8.610670673284076e-06,5.740447115522717e-06,5.740447115522717e-06,2.8702235577613584e-06,3.725840431038135e-06,6.949639401130433e-12,2.008397301820967e-06,4.006425135164249e-06,,3.725840431038135e-06,6.949639401130433e-12,2.008397301820967e-06,4.006425135164249e-06,,3.725840431038135e-06,6.949639401130433e-12,2.008397301820967e-06,4.006425135164249e-06,,3.725840431038135e-06,6.949639401130433e-12,2.008397301820967e-06,4.006425135164249e-06,,3.725840431038135e-06,6.949639401130433e-12,2.008397301820967e-06,4.006425135164249e-06,,3.725840431038135e-06,6.949639401130433e-12,2.008397301820967e-06,4.006425135164249e-06,,3.725840431038135e-06,6.949639401130433e-12,2.008397301820967e-06,4.006425135164249e-06,,3.725840431038135e-06,6.949639401130433e-12,2.008397301820967e-06,4.006425135164249e-06,
5,2,1,Matlab,0,2,1,7,2,5,7,1,6,1,0,0,0,0,2,2,1.0,11.604260969775586,-9.87801830288094,5.128981810968032e-05,4.483672217105033e-05,8.967344434210066e-05,4.483672217105033e-05,0.00031385705519735235,8.967344434210066e-05,0.00022418361085525167,0.00031385705519735235,4.483672217105033e-05,0.000269020333026302,,3.4214573742937683e-06,2.2319072764533396e-07,0.0002743687169101448,3.390305809485231e-05,,3.4214573742937683e-06,2.2319072764533396e-07,0.0002743687169101448,3.390305809485231e-05,,3.4214573742937683e-06,2.2319072764533396e-07,0.0002743687169101448,3.390305809485231e-05,,3.4214573742937683e-06,2.2319072764533396e-07,0.0002743687169101448,3.390305809485231e-05,,3.4214573742937683e-06,2.2319072764533396e-07,0.0002743687169101448,3.390305809485231e-05,,3.4214573742937683e-06,2.2319072764533396e-07,0.0002743687169101448,3.390305809485231e-05,,3.4214573742937683e-06,2.2319072764533396e-07,0.0002743687169101448,3.390305809485231e-05,,3.4214573742937683e-06,2.2319072764533396e-07,0.0002743687169101448,3.390305809485231e-05
6,2,2,R,0,1,6,2,7,6,2,6,5,0,1,0,0,0,2,2,1.0,17.434345218494762,-4.0479340541617645,0.017458405527988836,0.015261853269474261,0.015261853269474261,0.09157111961684557,0.030523706538948522,0.10683297288631982,0.09157111961684557,0.030523706538948522,0.09157111961684557,0.07630926634737131,4.105748849152522e-06,,7.59713014576615e-05,0.09339164186092551,0.011540172273435763,4.105748849152522e-06,,7.59713014576615e-05,0.09339164186092551,0.011540172273435763,4.105748849152522e-06,,7.59713014576615e-05,0.09339164186092551,0.011540172273435763,4.105748849152522e-06,,7.59713014576615e-05,0.09339164186092551,0.011540172273435763,4.105748849152522e-06,,7.59713014576615e-05,0.09339164186092551,0.011540172273435763,4.105748849152522e-06,,7.59713014576615e-05,0.09339164186092551,0.011540172273435763,4.105748849152522e-06,,7.59713014576615e-05,0.09339164186092551,0.011540172273435763,4.105748849152522e-06,,7.59713014576615e-05,0.09339164186092551,0.011540172273435763
7,2,3,SAS,0,4,1,6,3,2,5,5,2,0,0,1,0,0,2,2,1.0,15.620840765083228,-5.861438507573299,0.0028471450956797663,0.00248892778996946,0.00995571115987784,0.00248892778996946,0.014933566739816759,0.007466783369908379,0.00497785557993892,0.012444638949847299,0.012444638949847299,0.00497785557993892,6.695721829360019e-07,0.00018992825364415376,,0.01523046046075241,0.0018819900155794607,6.695721829360019e-07,0.00018992825364415376,,0.01523046046075241,0.0018819900155794607,6.695721829360019e-07,0.00018992825364415376,,0.01523046046075241,0.0018819900155794607,6.695721829360019e-07,0.00018992825364415376,,0.01523046046075241,0.0018819900155794607,6.695721829360019e-07,0.00018992825364415376,,0.01523046046075241,0.0018819900155794607,6.695721829360019e-07,0.00018992825364415376,,0.01523046046075241,0.0018819900155794607,6.695721829360019e-07,0.00018992825364415376,,0.01523046046075241,0.0018819900155794607,6.695721829360019e-07,0.00018992825364415376,,0.01523046046075241,0.0018819900155794607
8,2,4,SPSS,1,2,7,6,7,7,5,7,7,0,0,0,1,0,1,1,1.0,21.482279272656527,0.0,1.0,0.87418368447261,1.74836736894522,6.11928579130827,5.24510210683566,6.11928579130827,6.11928579130827,4.37091842236305,6.11928579130827,6.11928579130827,0.00023517318592298123,0.06670831561494679,0.004351560131643545,,0.6610095208829281,0.00023517318592298123,0.06670831561494679,0.004351560131643545,,0.6610095208829281,0.00023517318592298123,0.06670831561494679,0.004351560131643545,,0.6610095208829281,0.00023517318592298123,0.06670831561494679,0.004351560131643545,,0.6610095208829281,0.00023517318592298123,0.06670831561494679,0.004351560131643545,,0.6610095208829281,0.00023517318592298123,0.06670831561494679,0.004351560131643545,,0.6610095208829281,0.00023517318592298123,0.06670831561494679,0.004351560131643545,,0.6610095208829281,0.00023517318592298123,0.06670831561494679,0.004351560131643545,,0.6610095208829281
9,2,5,Stata,0,7,7,1,4,7,7,1,7,0,0,0,0,1,2,2,1.0,19.39131160833888,-2.0909676643176454,0.12356750607962168,0.1080206977457753,0.7561448842204271,0.7561448842204271,0.1080206977457753,0.4320827909831012,0.7561448842204271,0.7561448842204271,0.1080206977457753,0.7561448842204271,2.905976408130198e-05,0.008242980195311259,0.000537711433022703,0.6610095208829281,,2.905976408130198e-05,0.008242980195311259,0.000537711433022703,0.6610095208829281,,2.905976408130198e-05,0.008242980195311259,0.000537711433022703,0.6610095208829281,,2.905976408130198e-05,0.008242980195311259,0.000537711433022703,0.6610095208829281,,2.905976408130198e-05,0.008242980195311259,0.000537711433022703,0.6610095208829281,,2.905976408130198e-05,0.008242980195311259,0.000537711433022703,0.6610095208829281,,2.905976408130198e-05,0.008242980195311259,0.000537711433022703,0.6610095208829281,,2.905976408130198e-05,0.008242980195311259,0.000537711433022703,0.6610095208829281,
